Permeability (md),Porosity (fraction),Rock Type
101.2,0.09597,Sandstone
73.53,0.09059,Carbonate
98.92,0.09057,Sandstone
63.76,0.09267,Carbonate
118.6,0.08588,Sandstone
74.68,0.09774,Carbonate
75.27,0.1007,Carbonate
78.83,0.0808,Carbonate
94.37,0.1075,Sandstone
82.02,0.08749,Carbonate
60.73,0.0695,Carbonate
81.15,0.1034,Sandstone
100.4,0.1044,Sandstone
82.53,0.07941,Carbonate
90.63,0.12,Sandstone
117.4,0.07371,Sandstone
127.5,0.08523,Sandstone
94.49,0.09872,Sandstone
78.54,0.09586,Carbonate
115.1,0.08968,Sandstone
158.9,0.1141,Sandstone
91.56,0.1323,Sandstone
81.09,0.09965,Carbonate
98.78,0.08876,Sandstone
62.92,0.1089,Carbonate
109.7,0.08772,Sandstone
87.02,0.1002,Carbonate
98.17,0.08182,Carbonate
134.7,0.0909,Sandstone
75.51,0.08871,Carbonate
188.5,0.1142,Sandstone
114.5,0.1006,Sandstone
92.87,0.09463,Sandstone
90.96,0.1026,Sandstone
77.32,0.09363,Carbonate
65.05,0.08054,Carbonate
129.7,0.09383,Sandstone
128,0.0842,Sandstone
87.88,0.09646,Carbonate
88.59,0.1051,Carbonate
65.12,0.1061,Carbonate
102.6,0.1025,Sandstone
84.55,0.08445,Carbonate
92.51,0.09906,Carbonate
66.62,0.1053,Carbonate
97.45,0.08371,Carbonate
81.35,0.07903,Carbonate
85.26,0.1088,Sandstone
113.4,0.1141,Sandstone
71.76,0.06883,Carbonate
70.79,0.0778,Carbonate
134.4,0.09159,Sandstone
60.21,0.08464,Carbonate
89.79,0.0907,Carbonate
153.5,0.09509,Sandstone
132.5,0.08355,Sandstone
92.55,0.08223,Carbonate
113.4,0.09812,Sandstone
87.38,0.09423,Carbonate
78.61,0.07926,Carbonate
73.93,0.09592,Carbonate
88.54,0.08043,Carbonate
129.1,0.1027,Sandstone
66.72,0.107,Carbonate
84.13,0.07215,Carbonate
84.95,0.0876,Carbonate
68.01,0.09657,Carbonate
73.87,0.1013,
138.9,0.1007,Sandstone
73.28,0.09345,Carbonate
132.9,0.1,Sandstone
135.7,0.09469,Sandstone
69.28,0.09688,Carbonate
87.16,0.07956,Carbonate
82.38,0.09425,Carbonate
69.5,0.1082,Carbonate
90.3,0.06429,Carbonate
72.23,0.09834,Carbonate
147.3,0.09401,Sandstone
,0.09037,Carbonate
115.2,0.08855,Sandstone
76.2,0.1225,Carbonate
71.79,0.09379,Carbonate
120.9,0.08923,Sandstone
86.24,0.07948,Carbonate
88.99,0.09516,Carbonate
126.2,0.102,Sandstone
74.24,0.07813,Carbonate
108.8,0.1066,
84.08,0.07818,Carbonate
79.83,0.08393,Carbonate
77.87,0.08605,Carbonate
81.89,0.06955,Carbonate
73.72,0.0802,Carbonate
72.17,0.08713,Carbonate
96.03,0.08757,Carbonate
97.03,0.08992,Carbonate
83.14,0.1005,Carbonate
75.54,0.08372,Carbonate
81.78,0.09667,Carbonate
,0.09198,Carbonate
69.14,0.08518,Carbonate
75,0.09968,Sandstone
91.22,0.06576,Carbonate
66.85,0.1015,Carbonate
129.5,0.115,Sandstone
80.43,0.08451,Carbonate
134.7,0.108,Sandstone
66.86,0.1068,Carbonate
73.59,0.08853,Carbonate
74.23,0.07474,
84.07,0.08511,Carbonate
56.36,0.07005,Carbonate
85.69,0.07376,Carbonate
82.71,0.08352,Carbonate
74.33,0.08814,Carbonate
92.68,0.07618,Carbonate
82.29,0.08794,Carbonate
73.73,0.08597,Carbonate
54.09,0.1074,Carbonate
79.19,0.08511,Carbonate
77.25,0.07734,Carbonate
118.7,0.09746,Sandstone
60.07,0.09968,Carbonate
78.6,0.07557,Carbonate
66.52,0.1061,Carbonate
131.1,0.0802,Sandstone
82.82,0.1134,Carbonate
135.9,0.117,Sandstone
78.01,0.08673,Carbonate
81.25,0.1028,Carbonate
90.03,0.09309,Carbonate
76.09,0.07683,Carbonate
106.9,0.1169,Sandstone
107.5,0.1165,Sandstone
105.8,0.09491,Sandstone
84.52,0.09579,Carbonate
71.94,0.1054,Carbonate
71.38,0.08306,Carbonate
77.88,0.08313,Carbonate
111.8,0.1119,Sandstone
84.08,0.09462,Carbonate
122.9,0.09116,Sandstone
64.41,0.1007,Carbonate
155.1,0.1069,Sandstone
94.15,0.09751,Carbonate
61.64,0.08481,Carbonate
71.49,0.1033,Carbonate
129.9,0.09797,Sandstone
75.03,0.115,Carbonate
66.2,0.09882,Carbonate
76.66,0.08386,Carbonate
94.87,0.08875,Carbonate
73.02,0.09076,Carbonate
77.23,0.1158,Carbonate
73.7,0.07561,Carbonate
107.1,0.1243,Sandstone
174.2,0.1149,Sandstone
98,0.1024,Sandstone
71.24,0.07274,Carbonate
81.92,0.0876,Carbonate
85.09,0.1082,Carbonate
88.52,0.08743,Carbonate
56.74,0.08293,Carbonate
59.82,0.1009,Carbonate
79.42,0.07436,Carbonate
85.24,0.08582,Carbonate
81.87,0.09676,Carbonate
106.6,0.09686,Carbonate
85.48,0.07937,Carbonate
133.8,0.0915,Sandstone
133.7,0.09905,Sandstone
78.31,0.09231,Carbonate
140.9,0.09384,Sandstone
147.2,0.1063,Sandstone
109,0.09742,Sandstone
97.65,0.07963,Carbonate
141.3,0.1001,Sandstone
134.8,0.09446,Sandstone
87.84,0.08302,Carbonate
106.3,0.0988,Carbonate
70.15,0.09073,Carbonate
85.89,0.07517,Carbonate
88.27,0.08268,Carbonate
73.3,0.1216,Sandstone
73.16,0.1237,Carbonate
70.67,0.07987,Carbonate
78.75,0.06935,Carbonate
80.64,0.1042,Carbonate
85.79,0.08363,Carbonate
93.97,0.08682,Sandstone
78.78,0.08108,Carbonate
88.37,0.07026,Carbonate
,0.08365,Carbonate
128.9,0.101,Sandstone
65.75,0.09996,Carbonate
55.27,0.1039,Carbonate
102.4,0.116,Sandstone
144.4,0.1167,Sandstone
78.07,0.1029,Carbonate
89.75,0.08045,Carbonate
88.1,0.1059,Carbonate
83.05,0.08044,Carbonate
70.31,0.07741,Carbonate
75.26,0.09087,Carbonate
124.4,,Sandstone
76.14,0.08872,Carbonate
84.18,0.07351,Carbonate
83.18,0.09879,Carbonate
78.29,0.08682,Carbonate
70.39,0.1004,Carbonate
104.3,0.09495,Carbonate
82.63,0.07551,Carbonate
117.8,0.1036,Sandstone
78.41,0.08685,Carbonate
72.49,0.08858,Carbonate
70.92,0.1077,Carbonate
59.75,0.07969,Carbonate
97.53,0.08515,Carbonate
96.71,0.0832,Sandstone
76.39,0.09773,Carbonate
59.6,0.1044,Carbonate
102.9,0.112,Sandstone
80.88,0.08785,Carbonate
70.95,0.1018,Carbonate
74.2,0.08546,Carbonate
98.22,0.1031,Carbonate
75.46,0.1088,Carbonate
89.46,0.09057,Carbonate
61.93,0.1075,Carbonate
63.19,0.08117,Carbonate
67.49,0.09816,Carbonate
68.79,0.08801,Carbonate
70.47,0.08151,Carbonate
80.98,0.07896,Carbonate
102.1,0.09947,Sandstone
81.47,0.1054,Carbonate
133.8,0.1133,Sandstone
94.89,0.08924,Carbonate
91.12,0.106,Sandstone
82.67,0.09136,Carbonate
89.78,0.08458,Carbonate
88.68,0.08684,Carbonate
89.59,0.07966,Carbonate
71.73,0.08915,Carbonate
112.4,0.08331,Sandstone
88.37,0.08817,Carbonate
66.82,0.08142,Carbonate
117.5,0.08947,Sandstone
77.61,0.103,Carbonate
95.88,0.09179,Carbonate
94.25,0.08388,Carbonate
138.1,0.09684,Sandstone
76.83,0.06613,Carbonate
127.7,0.1032,Sandstone
76.77,0.08437,Carbonate
93.86,0.1099,Carbonate
80.62,0.08583,Carbonate
86.34,0.09245,Carbonate
74.87,0.09357,Carbonate
84.1,0.08791,Carbonate
82.61,0.08369,Carbonate
61.68,0.07984,Carbonate
111.2,0.09898,Sandstone
186.9,0.1084,Sandstone
92.25,0.06995,Carbonate
73.88,0.08508,Carbonate
84.28,0.07466,Carbonate
86.87,0.08284,Carbonate
85.98,0.08675,Carbonate
61.06,0.08311,Carbonate
119,0.09289,Sandstone
76.38,0.1175,Carbonate
61.49,0.08946,Carbonate
76.85,0.08752,Carbonate
96.45,0.08098,Carbonate
77.42,0.07699,Carbonate
70.41,0.1007,Carbonate
82.89,0.0904,Carbonate
92.41,0.08931,Carbonate
88.97,0.06828,Carbonate
73.99,0.1046,Carbonate
109.8,0.1026,Sandstone
78.29,0.09087,Carbonate
88.73,0.07991,Carbonate
87.32,0.1071,Carbonate
87.76,0.0995,Carbonate
102.8,0.1043,Carbonate
82.85,0.09514,Carbonate
94.21,0.08641,Carbonate
128.1,0.1089,Sandstone
75.49,0.1128,Carbonate
107.1,0.07497,Sandstone
78.18,0.08192,Carbonate
114.6,0.07838,Carbonate
118.4,0.1001,Sandstone
78.83,0.07372,Carbonate
84.06,0.07335,Carbonate
96.12,0.09587,Carbonate
82.69,0.1076,Carbonate
80.45,0.08928,Carbonate
121.3,0.1012,Sandstone
137.8,0.1085,Sandstone
98.73,0.09883,Carbonate
92.33,0.1162,Sandstone
81.25,0.1158,Carbonate
152.1,0.09342,Sandstone
61.49,0.1634,Carbonate
64.12,0.1255,Carbonate
79.47,0.1096,Carbonate
71.25,0.1194,Carbonate
104.7,0.09427,Carbonate
103.8,0.1183,Sandstone
76.31,0.08099,Carbonate
94.66,0.08472,Carbonate
88.64,0.1106,Sandstone
94.29,0.09832,Carbonate
97.26,0.09215,Sandstone
72.76,0.1049,Carbonate
120.8,0.1068,Sandstone
130.5,0.1037,Sandstone
84.45,0.1218,Carbonate
82.51,0.1125,Carbonate
59.96,0.1371,Carbonate
165.5,0.103,Sandstone
71.3,0.08511,Carbonate
88.73,0.09916,Carbonate
63,0.09492,Carbonate
54.53,0.1036,Carbonate
87.44,0.1075,Carbonate
78.94,0.09003,Carbonate
90.31,0.1248,Carbonate
77.83,0.11,Carbonate
75.89,0.1073,Carbonate
75.21,0.1016,Carbonate
87.76,0.09277,Carbonate
134.7,0.09156,Sandstone
70.79,0.09687,Carbonate
137.8,0.1046,Sandstone
76.37,0.1236,Carbonate
47.98,0.08098,Carbonate
48.34,0.08668,Carbonate
74.65,0.09984,Carbonate
95.81,0.08837,Carbonate
94.7,0.08275,Carbonate
84.88,0.08671,Carbonate
89.77,0.09578,Carbonate
87.19,0.09246,Carbonate
65.31,0.09434,Carbonate
65.85,0.08877,Carbonate
61.05,0.08491,Carbonate
68.89,0.08192,Carbonate
68.51,0.07431,Carbonate
71.49,0.09566,Carbonate
81.35,0.08276,Carbonate
59.01,0.0924,Carbonate
82.5,0.08123,Carbonate
65.67,0.0903,Carbonate
64.73,0.1003,Carbonate
59.26,0.08123,Carbonate
96.39,0.08473,Carbonate
74.52,0.09261,Carbonate
91.38,0.09929,Carbonate
70.67,0.07449,Carbonate
103.4,0.1048,Sandstone
47.92,0.05263,Carbonate
